NAME;TEAM;COUNTRY;POSITION;HEIGHT;NUMBER;AGE;COUNTRYCLLUB;
ANTON NUFER;ALBA;GERMANY;GUARD;204;8;18;GERMANY;9.4.2006
WILL MCDOWELL-WHITE;ALBA;AUSTRALIA;GUARD;195;7;26;GERMANY;13.4.1998
YANNI WETZELL;ALBA;NEW ZEALAND;FORWARD;206;5;28;GERMANY;8.7.1996
MATT THOMAS;ALBA;USA;GUARD;196;11;30;GERMANY;4.8.1994
ELIAS RAPIQUE;ALBA;GERMANY;FORWARD;200;25;20;GERMANY;25.4.2004
DAVID MCCORMACK;ALBA;USA;CENTER;208;33;25;GERMANY;2.7.1999
AMON DOERRIES;ALBA;GERMANY;FORWARD;210;22;19;GERMANY;3.1.2006
DORIAN GROSBER;ALBA;LUXEMBOURG;FORWARD;197;2;18;GERMANY;15.5.2006
TIM SCHNEIDER;ALBA;GERMANY;FORWARD;208;10;27;GERMANY;1.7.1997
LOUIS OLINDE;ALBA;GERMANY;FORWARD;205;19;26;GERMANY;19.3.1998
JONAS MATTISSECK;ALBA;GERMANY;GUARD;194;9;25;GERMANY;16.1.2000
MALTE DELOW;ALBA;GERMANY;GUARD;194;6;23;GERMANY;22.4.2001
GABRIELE PROCIDA;ALBA;ITALY;GUARD;198;1;22;GERMANY;1.6.2002
MATTEO SPAGNOLO;ALBA;ITALY;GUARD;194;3;22;GERMANY;10.1.2003
JUSTIN BEAN;ALBA;USA;FORWARD;201;34;28;GERMANY;17.11.1996
MARTIN HERMANNSSON;ALBA;ICELAND;GUARD;193;15;30;GERMANY;16.9.1994
DONATAS MOTIEJUNAS;AS MONACO;LITHUANIA;CENTER;213;20;34;FRANCE;20.9.1990
MIKE JAMES;AS MONACO;USA;GUARD;185;55;34;FRANCE;18.8.1990
JARON BLOSSOMGAME;AS MONACO;USA;FORWARD;200;4;31;FRANCE;16.9.1993
JORDAN LOYD;AS MONACO;USA;GUARD;193;8;31;FRANCE;27.7.1993
MAM JAITEH;AS MONACO;FRANCE;CENTER;208;14;30;FRANCE;27.11.1994
DANIEL THEIS;AS MONACO;GERMANY;CENTER;204;10;32;FRANCE;4.4.1992
VITTO BROWN;AS MONACO;USA;FORWARD;203;30;29;FRANCE;13.7.1995
JUHANN BEGARIN;AS MONACO;FRANCE;FORWARD;196;23;22;FRANCE;7.8.2002
PETR CORNELIE;AS MONACO;FRANCE;CENTER;211;12;29;FRANCE;26.7.1995
ALPHA DIALLO;AS MONACO;USA;FORWARD;201;11;27;FRANCE;29.6.1997
ELIE OKOBO;AS MONACO;FRANCE;GUARD;191;0;27;FRANCE;23.10.1997
MATTHEW STRAZEL;AS MONACO;FRANCE;GUARD;184;32;22;FRANCE;5.8.2002
TERRY TARPEY;AS MONACO;FRANCE;GUARD;196;22;30;FRANCE;2.3.1994
NICK CALATHES;AS MONACO;GREECE;GUARD;196;33;36;FRANCE;7.2.1989
GEORGIOS PAPAGIANNIS;AS MONACO;GREECE;CENTER;220;9;27;FRANCE;3.7.1997
THEO MALEDON;ASVEL;FRANCE;GUARD;193;6;23;FRANCE;12.6.2001
CHARLES KAHUDI;ASVEL;FRANCE;FORWARD;196;5;38;FRANCE;19.7.1986
NANDO DE COLO;ASVEL;FRANCE;GUARD;196;12;37;FRANCE;23.6.1987
YOHANN SISSOKO;ASVEL;FRANCE;FORWARD;194;30;18;FRANCE;6.5.2006
SHAQUILLE HARRISON;ASVEL;USA;FORWARD;191;1;31;FRANCE;6.10.1993
DAVID LIGHTY;ASVEL;USA;FORWARD;198;23;36;FRANCE;27.5.1988
